pattern,count,n
무엇을도와드릴까요?,375,2
어떻게 도와드릴까요?,335,2
어떻게도와드릴까요?,335,2
그런것,312,2
그런건,264,2
그사람이,218,2
그거정말,186,2
나도그래.,167,2
이번주말에,164,2
그런 것,156,2
그런거,150,2
너무많이,142,2
어떻게 생각해?,139,2
어떻게생각해?,139,2
그렇게생각해?,136,2
그럴수도,133,2
그런 건,132,2
이번주,129,2
너 정말,125,2
너정말,125,2
어떤 걸,122,2
어떤걸,122,2
그 사람,121,2
그사람,121,2
그사람은,112,2
그 사람이,109,2
뭐 해?,106,2
뭐해?,106,2
그거좋은,97,2
왜 안,95,2
어떤 종류의,94,2
어떤종류의,94,2
그런데왜,94,2
그거 정말,93,2
그렇게생각해.,90,2
그런걸,88,2
우리 집에,81,2
우리집에,81,2
그게무슨,79,2
그런데이,78,2
나도그렇게,77,2
나랑같이,76,2
어떤 걸로,76,2
어떤걸로,76,2
그런 거,75,2
이 양식을,73,2
이양식을,73,2
이걸로할게요.,72,2
어떤 게,71,2
어떤게,71,2
내일아침에,71,2
그건좀,71,2
내일아침,70,2
그렇게 생각해?,68,2
그럼이,67,2
나을것,66,2
그럼어떻게,66,2
그게뭐야?,66,2
어떤가요?#Person2#:,66,2
너 진짜,66,2
너진짜,66,2
그런말,64,2
"저기요,이",62,2
이쪽으로오세요.,62,2
그런데그,62,2
어떤 일을,61,2
어떤일을,61,2
너무많은,61,2
그럴것,60,2
우리 둘,60,2
우리둘,60,2
그렇게생각하지,60,2
얘기좀,58,2
그런일이,57,2
이번주에,57,2
그 사람은,56,2
그런게,56,2
얼마나걸리나요?,55,2
뭐 좀,55,2
그걸로할게요.,54,2
그리고이,54,2
저녁먹으러,54,2
나 좀,54,2
우리 회사에,53,2
우리회사에,53,2
어떤가요?#Person1#:,52,2
어느 정도,52,2
어느정도,52,2
그렇게생각해요.,52,2
그렇게말해줘서,52,2
이런건,52,2
그럼이제,52,2
이번여름에,51,2
그럼내일,51,2
어떤 사람들은,51,2
어떤사람들은,51,2
